Season,Team,League,Conference,Division,Finish,Wins,Losses,Ties,Postseason results,Awards
2005,2005,NFL,NFC,East +,1st +,11,5,0,Lost Wild Card Playoffs (Panthers) 23–0,—
2006,2006,NFL,NFC,East,3rd #,8,8,0,Lost Wild Card Playoffs (at Eagles) 23–20,—
2007,2007,NFL,NFC *,East,2nd #,10,6,0,Won  Wild Card Playoffs (at Buccaneers) 24–14Won Divisional Playoffs (at Cowboys) 21–17Won Conference Championship (at Packers) 23–20 (OT)[25]Won Super Bowl XLII (7) (Patriots) 17–14,Eli Manning (Super Bowl XLII MVP)[7]
2008,2008,NFL,NFC,East +,1st +,12,4,0,Lost Divisional Playoffs (Eagles) 23–11,—
2009,2009,NFL,NFC,East,3rd,8,8,0,—,—
2010,2010,NFL,NFC,East,2nd,10,6,0,—,—
2011,2011,NFL,NFC *,East +,1st +,9,7,0,Won Wild Card Playoffs (Falcons) 24–2Won Divisional Playoffs (at Packers) 37–20Won Conference Championship (at 49ers) 20–17 (OT)Won Super Bowl XLVI (8) (Patriots) 21–17,Eli Manning (Super Bowl XLVI MVP)[26]
2012,2012,NFL,NFC,East,2nd,9,7,0,—,—
2013,2013,NFL,NFC,East,3rd,7,9,0,—,—
2014,2014,NFL,NFC,East,3rd,6,10,0,—,Odell Beckham Jr. (NFL OROY)[27]
2015,2015,NFL,NFC,East,3rd,6,10,0,—,—
2016,2016,NFL,NFC,East,2nd #,11,5,0,Lost Wild Card Playoffs (at Packers) 38–13,Eli Manning (Co-NFL WPMOY)[28]
2017,2017,NFL,NFC,East,4th,3,13,0,—,—
